種類,年月,業者名稱,通話分鐘數(分),用戶數,平均用戶通話分鐘數(分)
2G,103/8,遠傳電信股份有限公司,26451387,575506,45.96
4G,103/7,所有業者,19764202.32,343687,57.51
3G,103/7,中華電信股份有限公司,900060990,8956735,100.49
3G,103/7,台灣大哥大股份有限公司,525489122,6807409,77.19
3G,103/7,亞太電信股份有限公司,239182574,1991271,120.12
3G,103/7,威寶電信股份有限公司(至103年12止),101317070,1639016,61.82
3G,103/7,遠傳電信股份有限公司,713892081,6598613,108.19
2G,103/7,中華電信股份有限公司,123343520,1890407,65.25
2G,103/7,台灣大哥大股份有限公司,16606286,532902,31.16
2G,103/7,遠傳電信股份有限公司,30315984,603161,50.26
4G,103/6,所有業者,1129065.883,103905,10.87
3G,103/6,中華電信股份有限公司,927701688,8876737,104.51
3G,103/6,台灣大哥大股份有限公司,520234312,6823700,76.24
3G,103/6,亞太電信股份有限公司,244162858,2025234,120.56
3G,103/6,威寶電信股份有限公司(至103年12止),101938183,1728210,58.98
3G,103/6,遠傳電信股份有限公司,712251660,6653729,107.05
2G,103/6,中華電信股份有限公司,133884235,1999077,66.97
2G,103/6,台灣大哥大股份有限公司,18660075,558906,33.39
2G,103/6,遠傳電信股份有限公司,32102668,629232,51.02
4G,103/5,所有業者,1682,3047,0.55
3G,103/5,中華電信股份有限公司,886541282,8739002,101.45
3G,103/5,台灣大哥大股份有限公司,547741897,6805966,80.48
3G,103/5,亞太電信股份有限公司,266452736,2048112,130.1
3G,103/5,威寶電信股份有限公司(至103年12止),109624771,1731537,63.31
3G,103/5,遠傳電信股份有限公司,748941263,6628406,112.99
2G,103/5,中華電信股份有限公司,134950459,2118059,63.71
2G,103/5,台灣大哥大股份有限公司,19815087,585249,33.86
2G,103/5,遠傳電信股份有限公司,36441211,655946,55.56
3G,103/4,中華電信股份有限公司,903806322,8574748,105.4
3G,103/4,台灣大哥大股份有限公司,531500681,6736209,78.9
3G,103/4,亞太電信股份有限公司,267742044,2069496,129.38
3G,103/4,威寶電信股份有限公司(至103年12止),110255687,1729392,63.75
3G,103/4,遠傳電信股份有限公司,728387158,6573106,110.81
2G,103/4,中華電信股份有限公司,143609005,2234090,64.28
2G,103/4,台灣大哥大股份有限公司,21039148,617966,34.05
2G,103/4,遠傳電信股份有限公司,39796436,682339,58.32
3G,103/3,中華電信股份有限公司,789074085,8438187,93.51
3G,103/3,台灣大哥大股份有限公司,555031416,6652689,83.43
3G,103/3,亞太電信股份有限公司,278823862,2091744,133.3
3G,103/3,威寶電信股份有限公司(至103年12止),119203433,1726541,69.04
3G,103/3,遠傳電信股份有限公司,759460621,6523102,116.43
2G,103/3,中華電信股份有限公司,129725832,2344707,55.33
2G,103/3,台灣大哥大股份有限公司,24178899,653338,37.01
2G,103/3,遠傳電信股份有限公司,46056641,710322,64.84
3G,103/2,中華電信股份有限公司,883790347,8303117,106.44
3G,103/2,台灣大哥大股份有限公司,506139725,6576840,76.96
